lap,MSP,IRI,CHN,NZL,FIN,TOS,ISD,GER,RUS,IRL,ESP,UKR,POL,LOK,NED
1,6,10,5,3,12,2,9,4,8,12,14,1,11,15,7
2,4,14,6,2,11,5,9,3,8,10,12,1,16,13,7
3,5,15,9,1,13,4,8,3,7,10,11,2,16,12,6
4,10,15,9,1,13,7,5,3,6,4,11,2,16,12,8
5,12,15,7,1,13,8,4,3,6,5,10,2,16,11,9
6,14,15,9,1,12,11,3,4,6,5,8,2,16,7,10
7,14,15,9,1,12,11,3,8,6,4,7,2,16,5,10
8,14,15,8,1,12,11,3,9,7,5,6,2,16,4,10
9,15,14,7,1,12,11,3,10,8,5,6,2,16,4,9
10,16,14,7,1,12,11,3,10,9,5,6,2,15,4,8
11,16,14,7,1,11,10,3,12,9,5,6,2,15,4,8
12,16,15,8,1,11,9,3,12,10,5,6,2,14,4,7
13,16,15,8,1,10,9,3,12,11,4,6,2,13,5,7
14,16,15,9,1,10,8,3,12,11,4,6,2,13,5,7
15,16,15,9,1,10,7,3,11,12,4,6,2,13,5,8
16,16,15,9,1,10,7,3,11,12,4,6,2,13,5,8
17,16,15,8,1,10,7,3,11,12,4,6,2,13,5,9
18,16,15,8,1,10,7,4,11,12,3,6,2,13,5,9
19,16,15,8,1,10,7,4,11,13,3,6,2,12,5,9
20,16,15,8,1,9,7,4,11,13,3,6,2,12,5,10
21,16,14,9,1,8,7,4,11,13,3,6,2,12,5,10
22,16,14,9,1,8,7,4,12,13,3,6,2,11,5,10
23,16,14,9,1,8,6,4,12,13,3,7,2,11,5,10
24,16,14,8,1,9,6,4,12,13,3,7,2,11,5,10
25,16,14,8,1,9,6,4,12,13,3,7,2,11,5,10
26,16,14,8,1,9,6,4,12,13,3,7,2,11,5,10
27,16,14,8,1,9,6,4,12,13,3,7,2,11,5,10
28,16,14,8,1,10,6,4,12,13,3,7,2,11,5,9
29,16,14,8,1,10,6,4,12,13,3,7,2,11,5,9
30,16,14,8,1,11,6,4,12,13,3,7,2,9,5,10
31,15,14,8,1,11,6,4,12,13,3,7,2,9,5,10
32,16,14,8,1,11,6,4,12,13,3,7,2,9,5,10
