lap,IRI,KOR,ITA,HBC,LOK,TMV,RUS,CGA,HKG,AUS,NED,UKR,SUI,VEN,POL,GER,BEL,FRA,TTA,UZB
1,19,4,21,17,14,1,5,6,11,13,9,10,12,22,20,3,8,2,15,16
2,18,4,20,16,13,1,5,7,14,6,11,9,12,21,22,2,8,3,17,19
3,17,8,20,15,10,5,6,7,16,1,13,11,12,21,22,2,3,4,18,19
4,17,9,20,14,8,10,6,7,16,1,12,11,13,21,22,3,2,4,18,19
5,17,9,18,13,8,12,7,6,16,1,11,10,15,21,22,3,2,5,20,19
6,17,8,18,12,7,15,10,6,14,1,11,9,16,19,22,5,2,4,21,20
7,17,6,18,12,8,15,11,7,13,1,9,10,16,19,22,5,2,4,21,20
8,18,6,16,11,9,17,12,7,13,1,8,10,19,15,22,5,2,4,21,20
9,18,6,16,11,9,17,14,10,12,1,7,8,19,15,22,5,2,4,21,20
10,17,6,16,9,10,18,15,11,12,1,7,8,19,13,20,5,2,4,21,22
11,17,5,15,8,10,18,16,11,12,1,7,9,20,13,19,4,3,6,21,22
12,16,5,14,8,10,18,19,12,13,1,7,9,20,11,17,4,3,6,21,22
13,17,5,14,8,10,18,19,13,12,1,6,11,20,9,15,4,2,7,21,22
14,17,5,14,9,10,18,20,13,11,1,6,12,19,8,15,4,2,7,21,22
15,17,6,15,10,11,18,20,12,9,1,5,13,19,8,14,3,2,7,22,21
16,18,6,15,11,10,16,20,12,9,1,5,13,19,7,14,3,2,8,22,21
