lap,JPN ,HKG ,POL ,KOR ,RUS ,LTU ,UKR ,BLR ,BEL ,CHN ,CAN ,USA ,NED ,GER ,GBR ,AUS ,NZL 
1,2,18,12,13,15,1,17,4,9,16,3,8,6,14,5,10,7
2,12,17,11,14,16,4,13,1,7,15,3,5,9,10,2,8,6
3,15,17,13,14,12,5,10,1,6,16,2,4,9,11,3,8,7
4,17,16,14,13,12,6,8,1,7,15,2,3,11,10,4,5,9
5,17,16,14,12,13,7,8,1,9,15,2,3,11,10,4,6,5
6,17,16,13,12,15,7,6,1,9,14,2,3,10,11,4,8,5
7,17,16,13,11,15,8,5,1,9,14,2,3,10,12,4,7,6
8,17,16,12,11,15,6,7,2,9,14,1,5,10,13,4,8,3
9,16,17,12,11,15,6,7,2,9,14,1,5,10,13,4,8,3
10,16,17,12,11,15,5,8,4,9,14,1,6,10,13,3,7,2
11,16,17,12,10,15,4,8,7,9,13,3,5,11,14,2,6,1
12,16,17,12,11,15,4,6,8,9,13,7,3,10,14,2,5,1
