lap,MSP ,MEX ,VEN ,KAZ ,ITA ,HKG ,SUI ,FRA ,UKR ,GER ,RUS ,AUS 
1,7,2,12,11,10,9,6,8,5,4,3,1
2,8,4,12,11,9,7,3,10,6,5,1,2
3,8,4,12,11,9,5,2,10,6,7,1,3
4,8,4,12,11,7,5,2,10,6,9,1,3
5,8,4,12,11,7,6,3,9,5,10,1,2
6,8,5,12,10,7,6,3,9,4,11,1,2
7,6,7,12,10,5,8,3,9,4,11,1,2
8,5,7,11,10,6,8,3,9,4,12,1,2
9,5,7,11,10,6,8,3,9,4,12,1,2
10,5,9,11,10,6,8,3,7,4,12,1,2
11,6,9,11,10,5,8,3,7,4,12,1,2
12,6,9,11,10,5,8,2,7,4,12,1,3
13,6,9,10,11,5,8,2,7,4,12,1,3
14,6,9,10,11,5,8,2,7,4,12,1,3
15,6,9,10,11,5,8,2,7,4,12,1,3
16,6,10,9,11,3,8,2,7,5,12,1,4
