JiriBARES,1,4,8,13,17,18,18,18,19,19,19,19,19,19,19,18
PatrickGRETSCH,7,11,9,9,11,12,12,12,12,11,11,10,10,10,8,8
AlessandroDE MARCHI,20,19,19,19,19,19,19,19,18,18,18,18,18,18,18,17
ArnaudDEPREEUW,9,9,11,14,15,16,16,16,16,16,17,17,17,16,16,15
AlexeyLYALKO,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19
AntonioTAULER LLULL,17,16,14,10,8,8,8,8,8,8,8,9,9,9,10,11
LeviHEIMANS,13,15,17,16,13,13,13,13,11,12,12,13,13,13,13,13
RobertBARTKO,6,8,15,17,18,17,17,15,15,15,14,12,11,11,11,9
DominiqueCORNU,14,10,7,7,6,6,6,6,6,6,5,5,5,4,4,3
VolodymyrDIUDIA,2,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4
IngmarDE POORTERE,18,18,18,18,16,14,14,14,13,13,13,14,14,14,14,14
AntonioCASTRO LAVERDE Arles,12,13,10,8,10,10,10,10,10,10,10,11,12,12,12,12
JesseSERGENT,4,2,2,3,3,4,4,4,4,4,4,4,4,5,5,5
JackBOBRIDGE,15,7,3,2,2,2,2,2,2,2,3,2,2,2,2,2
VitaliySHCHEDOV,5,3,4,5,7,7,7,7,7,7,7,7,7,8,9,10
SergiESCOBAR ROURE,8,6,6,6,5,5,5,5,5,5,6,6,6,6,6,6
TaylorPHINNEY,3,5,5,4,4,3,3,3,3,3,1,1,1,1,1,1
ValeryKAIKOV,16,17,16,15,14,15,15,17,17,17,15,15,15,15,15,16
AlexeiMARKOV,10,14,13,11,9,9,9,9,9,9,9,8,8,7,7,7
