PaulHEALION,0,0,3
AdrianTEKLINSKI,-1,1,0
RistoAALTIO,1,1,0
IbanLEANIZBARRUTIA CRUZ,1,-3,0
OriolMARTINEZ,-7,-3,-4
CarlosVERA LOPEZ,-4,-2,0
ClemensSELZER,0,-2,0
YevhenBOLIBRUKH,0,0,-2
YushoOIKAWA,-3,0,0
AzikiweKELLAR,-1,1,-3
EugenWACKER,0,1,0
TaylorPHINNEY,6,2,7
JuanPERALTA GASCON,0,0,0
IharHOVAR,0,1,2
QuentinLAFARGUE,-3,3,1
JavierAZKUE PRIETO,1,2,1
ChristianRANNERIES,2,2,1
SaschaHUBNER,0,-7,0
TimVELDT,-3,1,1
FilipDITZEL,1,-1,1
ValentinSAVITSKIY,0,0,-2
GaddyCHAID,3,0,0
DavidALONSO CASTILLO,1,1,1
FrancoisPERVIS,0,-1,-5
DavidDANIELL,4,-1,-3
MichaelD'ALMEIDA,2,4,-1
KamilKUCZYNSKI,0,0,2
