JavierAZKUE PRIETO,0,0,1
SergioALIAGA CHIVITE,-3,-2,-2
AzikiweKELLAR,0,-3,-1
AdriaSABATE MASIP,2,-4,-4
AntonLAPSHINAU,2,5,1
ChongyangWANG,1,3,2
ChristianRANNERIES,-2,1,1
RobsonDIAS,1,1,2
GregoryHUGENTOBLER,2,0,-1
HafizSUFIAN,-1,0,-1
KonstantinosKARAGEORGOS,-5,-1,1
ClemensSELZER,0,0,-1
DavidASKURAVA,-5,-4,1
YudaiNITTA,2,1,4
FrancescoCECI,6,3,-1
TomasBABEK,-1,2,2
AdrianTEKLINSKI,-1,1,1
YevhenBOLIBRUKH,2,-5,-4
ThomasBONAFOS,0,0,-1
DavidDANIELL,0,2,-1
QuentinLAFARGUE,1,0,1
StefanNIMKE,-1,0,0
